Pruned rate,Acc Mean,Acc Std,Epoch No.,Model size through inference (MB) (Shared part + task-specific part),Shared part (MB),Task specific part (MB),Whole masks (MB),Task specific masks (MB),Task specific batch norm vars (MB),Task specific biases (MB)
0.00000,0.99550,0.00342,0,111.983,111.733,111.983,22.347,22.347,0.169,0.080
0.08647,0.99633,0.00296,3,102.321,102.071,102.321,22.347,20.414,0.169,0.080
0.18216,0.99617,0.00279,6,91.629,91.379,91.629,22.347,18.276,0.169,0.080
0.28625,0.99650,0.00273,7,79.999,79.749,79.999,22.347,15.950,0.169,0.080
0.38531,0.99667,0.00247,8,68.931,68.681,68.931,22.347,13.736,0.169,0.080
0.48888,0.99633,0.00233,9,57.358,57.109,57.358,22.347,11.422,0.169,0.080
0.59204,0.99533,0.00371,13,45.832,45.582,45.832,22.347,9.116,0.169,0.080
0.69387,0.99583,0.00310,14,34.455,34.205,34.455,22.347,6.841,0.169,0.080
0.79573,0.99417,0.00327,16,23.074,22.824,23.074,22.347,4.565,0.169,0.080
0.89894,0.99133,0.00393,20,11.542,11.292,11.542,22.347,2.258,0.169,0.080
